Date,Open,High,Low,Close,Adj Close,Volume
2009-07-15,69365.757813,69867.523438,67573.757813,69048.320313,69048.320313,1500
2009-07-16,69498.882813,69519.359375,67502.078125,67901.437500,67901.437500,1000
2009-07-17,68096.000000,68290.562500,67328.000000,67921.921875,67921.921875,600
2009-07-20,67573.757813,68177.921875,66334.718750,66600.960938,66600.960938,800
2009-07-21,66037.757813,66938.882813,65423.359375,65638.398438,65638.398438,900
2009-07-22,66344.960938,66590.718750,62248.960938,62853.121094,62853.121094,1700
2009-07-23,63119.359375,63221.761719,60753.921875,61050.878906,61050.878906,1500
2009-07-24,61460.480469,61839.359375,60753.921875,60794.878906,60794.878906,500
2009-07-27,61675.519531,62136.320313,60784.640625,61440.000000,61440.000000,700
2009-07-28,62453.761719,64481.281250,61460.480469,64051.199219,64051.199219,1200
2009-07-29,64327.679688,65464.320313,63539.199219,64737.281250,64737.281250,500
2009-07-30,63682.558594,63846.398438,62238.718750,63078.398438,63078.398438,500
2009-07-31,63365.121094,63590.398438,62218.238281,63457.281250,63457.281250,400
2009-08-03,62812.160156,63262.718750,61921.281250,62330.878906,62330.878906,600
2009-08-04,62801.921875,63068.160156,61460.480469,61644.800781,61644.800781,500
2009-08-05,61972.480469,62597.121094,61245.441406,61388.800781,61388.800781,700
2009-08-06,61429.761719,62658.558594,60497.921875,62197.761719,62197.761719,700
2009-08-07,61480.960938,62208.000000,58890.238281,59668.480469,59668.480469,600
2009-08-10,60211.199219,61081.601563,59668.480469,59750.398438,59750.398438,400
2009-08-11,60395.519531,62996.480469,60293.121094,61440.000000,61440.000000,800
2009-08-12,61583.359375,61767.679688,59443.199219,60016.640625,60016.640625,600
2009-08-13,60047.359375,60907.519531,58511.359375,58634.238281,58634.238281,800
2009-08-14,58859.519531,60968.960938,58859.519531,60282.878906,60282.878906,500
2009-08-17,61911.039063,63825.921875,61829.121094,63559.679688,63559.679688,1000
2009-08-18,63365.121094,63631.359375,61890.558594,62310.398438,62310.398438,600
2009-08-19,63170.558594,63467.519531,59719.679688,60303.359375,60303.359375,1000
2009-08-20,60098.558594,60293.121094,58849.281250,59176.960938,59176.960938,500
2009-08-21,58624.000000,58705.921875,57804.800781,58101.761719,58101.761719,1100
2009-08-24,57917.441406,58613.761719,57415.679688,58327.039063,58327.039063,600
2009-08-25,58214.398438,60026.878906,57702.398438,59658.238281,59658.238281,900
2009-08-26,59392.000000,60487.679688,59095.039063,60364.800781,60364.800781,1100
2009-08-27,60375.039063,61184.000000,58777.601563,58890.238281,58890.238281,800
2009-08-28,58112.000000,59944.960938,58019.839844,59914.238281,59914.238281,700
2009-08-31,60508.160156,61409.281250,60416.000000,60590.078125,60590.078125,500
2009-09-01,61204.480469,63969.281250,59832.320313,63856.640625,63856.640625,1400
2009-09-02,64040.960938,64245.761719,63232.000000,64194.558594,64194.558594,700
2009-09-03,64020.480469,64112.640625,60968.960938,61143.039063,61143.039063,800
2009-09-04,61480.960938,61542.398438,59392.000000,59402.238281,59402.238281,900
2009-09-08,58890.238281,58920.960938,57344.000000,57415.679688,57415.679688,1200
2009-09-09,57333.761719,57548.800781,55500.800781,55562.238281,55562.238281,1200
2009-09-10,55470.078125,55828.480469,53258.238281,53360.640625,53360.640625,1700
2009-09-11,53166.078125,54353.921875,52387.839844,54056.960938,54056.960938,1600
2009-09-14,54272.000000,54906.878906,52418.558594,52520.960938,52520.960938,1000
2009-09-15,52582.398438,53196.800781,51998.718750,52224.000000,52224.000000,1100
2009-09-16,52224.000000,52408.320313,50288.640625,50708.480469,50708.480469,1700
2009-09-17,50565.121094,51466.238281,50073.601563,50954.238281,50954.238281,1800
2009-09-18,50892.800781,52193.281250,50452.480469,51916.800781,51916.800781,1000
2009-09-21,52654.078125,52992.000000,51742.718750,51927.039063,51927.039063,1500
2009-09-22,51292.160156,51558.398438,50176.000000,50739.199219,50739.199219,800
2009-09-23,50698.238281,51456.000000,48742.398438,51445.761719,51445.761719,1900
2009-09-24,51189.761719,53217.281250,50810.878906,52080.640625,52080.640625,1500
2009-09-25,52531.199219,53155.839844,51630.078125,52162.558594,52162.558594,1000
2009-09-28,52172.800781,52172.800781,50329.601563,50421.761719,50421.761719,700
2009-09-29,50524.160156,50810.878906,49797.121094,50124.800781,50124.800781,800
2009-09-30,50176.000000,51763.199219,49868.800781,51189.761719,51189.761719,1100
2009-10-01,51568.640625,53616.640625,51404.800781,53606.398438,53606.398438,1200
2009-10-02,54456.320313,54814.718750,52531.199219,53483.519531,53483.519531,1200
2009-10-05,53544.960938,53626.878906,51128.320313,51558.398438,51558.398438,700
2009-10-06,51056.640625,51200.000000,49059.839844,49745.921875,49745.921875,1400
2009-10-07,50186.238281,50227.199219,49397.761719,49500.160156,49500.160156,400
2009-10-08,49070.078125,49510.398438,48742.398438,49233.921875,49233.921875,1300
2009-10-09,49469.441406,49500.160156,48343.039063,48455.679688,48455.679688,900
2009-10-12,48117.761719,48220.160156,46540.800781,46796.800781,46796.800781,1200
2009-10-13,47073.281250,48424.960938,46612.480469,46817.281250,46817.281250,800
2009-10-14,46059.519531,46284.800781,45209.601563,45578.238281,45578.238281,1400
2009-10-15,46182.398438,46284.800781,44728.320313,44748.800781,44748.800781,700
2009-10-16,45260.800781,46223.359375,45004.800781,45680.640625,45680.640625,700
2009-10-19,45496.320313,45557.761719,44154.878906,44451.839844,44451.839844,900
2009-10-20,44400.640625,44984.320313,43857.921875,44236.800781,44236.800781,1100
2009-10-21,44636.160156,45137.921875,43008.000000,45066.238281,45066.238281,2900
2009-10-22,44892.160156,45516.800781,42987.519531,43089.921875,43089.921875,1700
2009-10-23,42649.601563,43765.761719,42147.839844,43335.679688,43335.679688,1600
2009-10-26,42977.281250,45107.199219,42188.800781,44748.800781,44748.800781,1300
2009-10-27,44697.601563,45189.121094,43888.640625,44216.320313,44216.320313,1500
2009-10-28,44523.519531,47308.800781,44390.398438,47278.078125,47278.078125,1700
2009-10-29,46100.480469,46458.878906,44738.558594,44871.679688,44871.679688,1200
2009-10-30,45455.359375,50176.000000,44881.921875,49377.281250,49377.281250,2900
2009-11-02,48691.199219,51107.839844,47400.960938,49879.039063,49879.039063,2300
2009-11-03,50667.519531,50974.718750,49152.000000,49930.238281,49930.238281,2200
2009-11-04,48691.199219,49909.761719,47872.000000,49520.640625,49520.640625,1400
2009-11-05,48547.839844,49049.601563,46858.238281,46991.359375,46991.359375,1300
2009-11-06,47994.878906,48035.839844,45619.199219,45701.121094,45701.121094,1300
2009-11-09,44840.960938,44840.960938,42854.398438,42967.039063,42967.039063,1700
2009-11-10,43274.238281,43530.238281,42240.000000,43489.281250,43489.281250,1400
2009-11-11,42752.000000,44001.281250,42106.878906,43458.558594,43458.558594,1100
2009-11-12,43898.878906,45342.718750,43304.960938,44789.761719,44789.761719,1400
2009-11-13,45056.000000,45977.601563,44113.921875,44544.000000,44544.000000,1200
2009-11-16,44001.281250,44216.320313,43192.320313,43827.199219,43827.199219,1300
2009-11-17,44441.601563,44544.000000,42823.679688,43212.800781,43212.800781,1300
2009-11-18,43397.121094,43612.160156,42240.000000,42321.921875,42321.921875,1200
2009-11-19,42926.078125,44288.000000,42700.800781,43376.640625,43376.640625,1900
2009-11-20,43878.398438,43991.039063,41830.398438,42229.761719,42229.761719,1900
